name;country_id
Бадахшан;1
Бадгис;1
Баглан;1
Балх;1
Бамиан;1
Дайкунди;1
Фарах;1
Фарьяб;1
Газни;1
Гор;1
Гельменд;1
Герат;1
Джаузджан;1
Кабул;1
Кандагар;1
Каписа;1
Хост;1
Кунар;1
Кундуз;1
Лагман;1
Логар;1
Нангархар;1
Нимруз;1
Нуристан;1
Пактия;1
Пактика;1
Панджшер;1
Парван;1
Саманган;1
Сар-и-Пуль;1
Тахар;1
Урузган;1
Майдан-Вардак;1
Забуль;1
Берат;2
Дибра;2
Дуррес;2
Эльбасан;2
Фиер;2
Гирокастра;2
Корча;2
Кукес;2
Лежа;2
Шкодер;2
Тирана;2
Влёра;2
Адрар;3
Айн-Дефла;3
Айн-Темушент;3
Алжир;3
Аннаба;3
Батна;3
Беджая;3
Бешар;3
Блида;3
Бордж-Бу-Арреридж;3
Буира;3
Бумердес;3
Шлеф;3
Джельфа;3
Джиджель;3
Гельма;3
Иллизи;3
Константина;3
Мсила;3
Оран;3
Уаргла;3
Скикда;3
Сук-Ахрас;3
Таманрассет;3
Тебесса;3
Тиарет;3
Типаза;3
Тизи-Узу;3
Тлемсен;3
Андoрра-ла-Велья;4
Канилльо;4
Энкамп;4
Эскальдес-Энгордань;4
Ла-Массана;4
Ордино;4
Сант-Жулиа-де-Лoрия;4
Бенгела;5
Бие;5
Кабинда;5
Куандо-Кубанго;5
Куанза-Норте;5
Куанза-Сул;5
Кунене;5
Уамбо;5
Уила;5
Луанда;5
Сент-Джон;6
Сент-Мэри;6
Сент-Пол;6
Сент-Питер;6
Сент-Джордж;6
Сент-Филип;6
Барбуда;6
Буэнос-Айрес;7
Катамарка;7
Чако;7
Чубут;7
Кордова;7
Корриентес;7
Энтре-Риос;7
Формоса;7
Жужуй;7
Ла-Пампа;7
Ла-Риоха;7
Мендоса;7
Мисьонес;7
Неукен;7
Рио-Негро;7
Сальта;7
Сан-Хуан;7
Сан-Луис;7
Санта-Крус;7
Санта-Фе;7
Сантьяго-дель-Эстеро;7
Огненная Земля;7
Тукуман;7
Арагацотн;8
Армавир;8
Гегаркуник;8
Котайк;8
Лори;8
Ширак;8
Сюник;8
Тавуш;8
Вайоц-Дзор;8
Ереван;8
Австралийская столичная территория;9
Новый Южный Уэльс;9
Северная территория;9
Квинсленд;9
Южная Австралия;9
Тасмания;9
Виктория;9
Западная Австралия;9
Бургенланд;10
Каринтия;10
Нижняя Австрия;10
Верхняя Австрия;10
Зальцбург;10
Штирия;10
Тироль;10
Форарльберг;10
Вена;10
Апшерон;11
Агджабеди;11
Агдам;11
Агдаш;11
Акстафа;11
Астара;11
Баку;11
Барда;11
Бейлаган;11
Габала;11
Геранбой;11
Гёйчай;11
Губа;11
Гусар;11
Хаджикабул;11
Хачмаз;11
Имишли;11
Исмаиллы;11
Кюрдамир;11
Лачин;11
Ленкорань;11
Лерик;11
Масаллы;11
Нахичевань;11
Нефтечала;11
Огуз;11
Саатлы;11
Сальян;11
Сиазань;11
Тертер;11
Товуз;11
Шабран;11
Шамкир;11
Шеки;11
Шемаха;11
Шуша;11
Ярдымлы;11
Большой Багама;12
Бимини;12
Андрос;12
Новый Провиденс;12
Эльютера;12
Эксума;12
Инагуа;12
Лонг-Айленд;12
Маягуана;12
Акротири и Декелия;13
Мухаррак;13
Северная мухафаза;13
Столичная мухафаза;13
Южная мухафаза;13
Центральная мухафаза;13
Барисал;14
Читтагонг;14
Дакка;14
Кхулна;14
Маймансингх;14
Раджшахи;14
Рангпур;14
Силхет;14
Крайст-Черч;15
Сент-Андру;15
Сент-Джордж;15
Сент-Джеймс;15
Сент-Джозеф;15
Сент-Люси;15
Сент-Мишель;15
Сент-Питер;15
Сент-Филип;15
Сент-Томас;15
Брестская область;16
Витебская область;16
Гомельская область;16
Гродненская область;16
Минская область;16
Могилёвская область;16
Минск;16
Брюссельский столичный регион;17
Фландрия;17
Валлония;17
Белиз;18
Кайо;18
Коросаль;18
Ориндж-Уолк;18
Стэнн-Крик;18
Толедо;18
Алибори;19
Атакора;19
Атлантический;19
Боргу;19
Коллинс;19
Куффо;19
Донга;19
Зу;19
Литораль;19
Моно;19
Уэме;19
Плато;19
Алакапу;20
Бумтанг;20
Чукха;20
Дагана;20
Гаса;20
Хаа;20
Лхунце;20
Монгар;20
Паро;20
Пемагацел;20
Пунакха;20
Самдруп-Джонгхар;20
Самце;20
Сарпанг;20
Тхимпху;20
Трашиганг;20
Трашиянгце;20
Тонгса;20
Вангди-Пходранг;20
Земганг;20
Чукисака;21
Кочабамба;21
Ла-Пас;21
Оруро;21
Потоси;21
Тариха;21
Санта-Крус;21
Бени;21
Пандо;21
Бихач;22
Баня-Лука;22
Добой;22
Мостар;22
Тузла;22
Зеница;22
Сараево;22
Босанци;22
Центральный округ;23
Ганзи;23
Кгалагади;23
Кгатленг;23
Квененг;23
Северо-Западный округ;23
Северо-Восточный округ;23
Юго-Восточный округ;23
Южный округ;23
Акри;24
Алагоас;24
Амазонас;24
Баия;24
Сеара;24
Федеральный округ;24
Эспириту-Санту;24
Гояс;24
Мараньян;24
Мату-Гросу;24
Мату-Гросу-ду-Сул;24
Минас-Жерайс;24
Пара;24
Параиба;24
Парана;24
Пернамбуку;24
Пиауи;24
Рио-де-Жанейро;24
Риу-Гранди-ду-Норти;24
Риу-Гранди-ду-Сул;24
Рондония;24
Рорайма;24
Санта-Катарина;24
Сан-Паулу;24
Сержипи;24
Токантинс;24
Белайт;25
Бруней-Муара;25
Тембуронг;25
Тутонг;25
Благоевград;26
Бургас;26
Варна;26
Велико-Тырново;26
Видин;26
Враца;26
Габрово;26
Добрич;26
Кырджали;26
Кюстендил;26
Ловеч;26
Монтана;26
Пазарджик;26
Перник;26
Плевен;26
Пловдив;26
Разград;26
Русе;26
Шумен;26
Силистра;26
Сливен;26
Смолян;26
София;26
Стара-Загора;26
Тырговище;26
Хасково;26
Ямбол;26
Бубанза;27
Бурури;27
Канкузо;27
Чибитоке;27
Гитега;27
Карузи;27
Кайанза;27
Кирундо;27
Макамба;27
Мурамвья;27
Нгози;27
Руиги;27
Рутана;27
Русуси;27
Бале;27
Базега;27
Канза;27
Магама;27
Муйинга;27
Румонге;27
Боа-Виста;28
Брава;28
Маю;28
Сал;28
Сан-Николау;28
Сантьяго;28
Сан-Висенте;28
Санту-Антан;28
Фого;28
Бантеймеанчей;29
Баттамбанг;29
Кампонгтям;29
Кампонгчнанг;29
Кампонгспы;29
Кампонгтхом;29
Кампот;29
Кандаль;29
Каэх-Конг;29
Кох-Конг;29
Кэп;29
Кратье;29
Мондулкири;29
Пайлин;29
